Urhobo,English
ahanre,called ikpekpa lower deck of fireplace platform
ahe,owl
ahwa,beaked non climbing giant squirrel
aka,people from southern nigeria
áká,kola
akaunọrọ,lizard
ako,tooth
akoroda,sheath
akpãkpa,woven out of palm branch back
akpakpasimagha,scorpion
akpanurhe,low seat
akpẹ, birds gizzard container of items
akpẹrẹ,basket
akpẹtẹ,cook cook
akpine,singer
akpọ, earth life
akpono,beads for female fashion
ame,water
amirika, drinkable alcohol 
anama,off stylish proud
anurhoro,to a house or room doorway
apata,release of someone elses
information,revealing others secrets
aphia, also called avwia 
aphopho,breeze
aranto,ant hill with a hat-like top cover
are,blade also known as erakivẹ 
areba,poisonous wild garden egg plant 
arhare,forehead
arh,salvation having life
arhọghọ,contribution
arirhiri,name indicative of its crafty behavior
aririfish,net
arodọvwẹ,pity mercy
aruvwẹ, daylight period
asa,place
asakuẹ,by 
asé,guilty verdict acquittal
aso,night
atarhe,destination
ato,desert
ató,stick
avwebọ,person
avwro, expression of a second opinion
awanre,ancient
ayar,fish trapping basket
aye,woman
azagba,of everyone un- hidden 
in,of an audience
baba,father
bẹnẹ,romance
beroma,in despair
bẹsiẹye,until then until that time
biebi,black
bio,push
biko, i beg you
bioma,me get out of my way
bitoboyidress,excuse me move there
bọ,build
bra,bad
brabra,bad
branama,style proud show off
brẹdẹ,make an appointment date
brigho,how much is the price tag 
brisẹ,a proverb clarify with a proverb
bro,it
bró,many 
broma,up walk fast
brudu,worry
buebu, plenty a lot
chá, add to it augment
cha,eg mẽ cha i am coming
chere,cook
chirako,endure
cho,steal
choja,a long time grudge
choma,be prepared get ready
chuji,steal
chuko, lend a hand support
churo,it
da,drink
dame,water
dẽdè,welcome
dedé,himher
davwe, test
davw,it try it
dẹ,buy
dédé,also déédé
dedẽdewithout, without discrimination
didiemu,what is it 
dierhare,up around fire
diguẹ,with knees down or bent 
divwi, dive divwi ame dive into water 
do, an elder greeting his junior
dudi,liquor da udi 
djaspicy,pepper-like taste 
hot,feeling
run,race
ebolocal,package bag
eb,roofing with attached leaves
edipalm,fruit
edja, parasitic worms
edje, equals
edjere,crocodile
efe,riches
efi,tree climbing rope
efia,lie
egbn,bullets
eghwa,load
eghwughwẹ,chameleon
egedege,floor building
eha,play
eheri,fashion
eho, consequence of a guilty verdict
ejõrọ,chain
ehuhu, pangolin
ekanaka,plate
eki,market
ekogho, neighborhood
eku, subjection through false allegations
ekpẹ, sand
ekpeti,box
ekpu,pocket
ekrirhe,of firewood
ekrirhekrẹbe,worm
ekru,bundle
emamọ,good one
emeravwe, month
emeraravwe,ant
emu,food
enanadja,pineaple
eni,elephant
ení,bunch of clothes
or,put between head
enu,up
epha,oracle
epharo,face
ephẹ,urine
ephẹrẹ,language
eravwe,animal
erere,profit
erha,three
erhare,fire
erhi,butterfly
erhie,of paradise alligator pepper
erhivwi,millipede
erhọ,ear
erhu,hat
erhuẹ,cow
erhurhu,dump
erhuru, beach rivers edge
erhuvwu,beauty
eri,fish
ésé,eg fish scale 
rash,skin complaint
eshe,fall of fall
esi,pig
esia,fable
eshu,devil
eto,pumpkin
evu, belly
ẹba,nakedness
ẹbaking,fish
ẹchẹ,door
ẹdẹ,day
ẹdidjana,otete saturday
ẹdidjana,orode sunday
ẹdiruoweekday,work day
ẹdẹfa,day
ẹdeki,day
ẹdorẹfestival,day
ẹdevwiẹ,birthday
ẹga,service
ẹga, childless person
ẹghware, sense
ẹghwẹre,mat
ẹghweya,folk
ẹghwọ, misunderstanding
ẹgua,defilement
ẹguare,court
ẹguọnọ, affection
ẹho, birds nest
ẹhọnimuemu,baptism
ẹjẹ,selection
ẹjo, not at all
ẹkẹ,portion
ẹkẹrẹkẹtẹ,ass
ẹkẹvuọvo, although
ẹkegba,rust
ẹkihwe,tenth 
ẹkpa,foolish unripe
ẹrhé,cow manatee
ẹrhia,of peoples
secrets,tale-bearing
ẹrho,cat-fish
ẹrhorho,leech
ẹrhorotip,the germinating plant
ẹrhovwo,prayer
ẹro,eye
ẹrẹvwe,tongue
ẹsanọ,selection
ẹsọstate,penury abject poverty
ẹsosuọ, beginning
ẹto,hair
ẹvwé,goat
ẹvwe,nut
ẹvwẹrẹ,pot
ẹvwére,thats boilingcooking on fire
fa,flog
fa,eg cause expose
faro, hash
frae,weight
feget,efe riches 
fẹnẹ, different from
fẹrẹ, flip it
fia,off with a single strike
eg,machete or sword
fia,change reduce to smaller
units,money
fiabọ,handed
fiẹ,eg uko fiẹ cup leaks
fiọsneeze,out
fiọfiọleak,suck
fiunu,hiss
fomaconfess,misdeeds
fomapayment,travel fare
fọrhọwash,eg wash cloth
fronẹ,off run away
fru,snatch
fuafo,white
fue,it
fuefu,gentle
fuẹrẹscrutinize,examine research
furhiequench,put out fire
gaga, hard
gẹrẹ,it bent
geri,vomit
gidigba,big adj showing size
gò, boast
godogodo,seldom
gogo, display
gogorogo,tall very huge
goma,strong
gu,a statement
gua,drive
guegue,frighten
gugunu,straight
guguruguhuge,amount
guma,big
gba,tie
gbane,hug
gbe,dance
gbegbédirty,also gbe 
gbesiatell,fables
gbẹ,weeds un-weed with cutlass
gbẹkẹ,to the brim a lot eg of food
gbiẹyidead,silent
gbikutell,story
gbo,smell
trees,their fallen edible fruits
gbogbo,rotten
gboma,joyfully
gbraka,and robust
gbrẹrẹ,size average shape
gbunie,on the floor sign of
humility,down fears
no, fears no pride
gbunu, abstinence from food
gha,forbid
gha,up eg umbrella or eye
ghare,divide
ghare,expensive
ghẹrẹ,a child up bringing nourish
gho,himher
ghoro, moving around without
destination,a hawkers aimless trip
ghọ,kola nut and money
to,and celebrate a
visitors,arrival
ghọghọ,rejoice
ghwa,carry
ghwágift,good performance eg dancing
ghwẹpack,with palm of your hands
ghwiẹ,up eg sun-dried clothes slap
ghwie,uproot
ghwo, ripe
ghwoghwo,announce
ghworo,rub
ghworiẹ,slippery
ghworié,rinse
ghwọquarrel,scold
ghwọghwọghwọ,un-sanitary filthy
ghwọrọroam,a road less bush or
ghwọrọ,ghwọrọ kufia waste away
ghwu,die
harhọ,himher
hẹrhẹ,wait
hiẹ,dig in scramble
hirhe, return
họhọhọ,heavy
họhọre,alike
họrhọ,boil
hra, undo the orderliness
hrahrọ,evenly spread equally
hrohro,out the last remnant
hwahwá,narrow
hwe, punish pummel
hwehwa,a bed
hwehwẹ,laugh
hwihwirihwi,dark more than black
ibehre,mud
ibivu,intestine
ichabọ,assistant
ídjédje,explanation
idjerhe,road
ifọ, water leaf
igberadja,prostitute
igede,drum
igoni,handcuff
igbigbi, faking
igbunu,miracle
igho,money
ikọhọ,egg
ikpekpa,over the fireplace
iku,crawfish
ine,song
inene,mother
inuhu,dirt
ipẹrẹ,nail
iporoma,sword
ipọtọ,button
irhe,wood
irho,dew
iroro, to think
iruo,work
isa,ring
isẹ,proverb
isha,beans
ishashasmall,like alligator pepper from a
climbing,used as a stimulantherb
ishu,lice
isi,of people
isio,star
isọ,excreta
itu,mushroom
ivwri, animal fish fat
ivwri,ant
iyesi,horse
izegede,building un-completed
door-less,house
jẹ, selecting in turns
jio,himher
jiro,him
jokpa, unless
jovwo,not proceed discontinue
jurhi,an edit make a law or regulation
kaka,at all
remember,do not forget
ké,give
kẹkẹrẹkẹ,medium shape size
kẹvwẹ,me
kio,eg kio riariẹ go round wrap it round
ko, with a sewing machine 
kọ, sow a seed 
koka,a mark
koko,gather
kokoroko,strong
krekri,a long time
krẹkrẹ,short
kri,arrival or late departure
kro,it up
kru,it up
kuakó,stunted growth
kueku,cheap
kuo,pour
kpaikpaiall,leaving nothing behind
kpẹhrẹsmall,not tall
kpẹkpẹrẹkpẹ,ever
kperi,shout
kprekpreforceful, series of
sudden,pushes
kpo,home
kpogho,shake
kporobreak, eg of a wall
kprẹsẹdwarfish,stature
kpuhru, describing how short
this,is usually replaced by
except,appears in the middle of a
word, sapele and poloko 
nokonoko,an adjective describing skin texture
mamọgenuine, good type
mẹ,me
mẹvwẹ,am
miavwa,painful
miẹmiẹ,sweet
mio, squeeze water from
mọ,come
momo,borrow
mra,sound
mragha, showing off
mraro,the future 
devine, prophecy
mrẹ,see
muo,carry
muọga,sick
nanãna,now
ne,feces
nene,mother
nie,take
nó,at t
nọ,ask
nomasoattention,take note beware
ba,end
obọ,hand
ochẹclay,water storage pot
oda,cutlass
odjadja, painful experience
odjuvwu,heaven
ofeyam,beetle
ofia,lie
ogaga,strength
ógba,fence
ogba,seed
ogbo,python
ogbruthe,big wrapper dress cloth
ogidi, rowdiness
ogiribo,storm
ojuvwu,heaven
óka,mark
okẹ,gift
oko,friend
ókpa,thick locally woven cloth
òkpé,stingy miserly
kpẹ,dialect of urhobo language
okpitẹ,person who speaks in proverbs
okri,goat
óma,statue
ona,finding craftiness shortcut art trick
ora,sore
orẹ,feast
orhare,well
orhirhi,fish
orho,town city
orhua,deer
orhuẹ,hunter
orhuere,a species of catfish
óríprocessed,starch meal
oro,gold
orurucotton,thread
osa,debt
ósarectangular,basket for loads
osio,rain
osu, governor
ota,speech
owọ,leg
obara,blood
obo,native doctor
odafe,person
odọ,larva
ofẹ,tilapia
ofigbo,oil
ogá,master
gà, disease
ogọrọpalm,wine
oka,corn
oke,period of time
oko,parcel present
okó,village
okpakoolder, more elderly
okpó,species of the lizard
okpó, walking stick
ók,sake
omọhọ,chick
omọphra,bird
omọshare,boy son
omọtẹ, daughter
opuọpuọ, stinging ray fish
ore,sun
orhare,bachelor male
without,means to
afford,marriage patner
orharha,stranger
origbo,leaf bitter leaf plant
orọdekọ,snake
oso,hawk
patiẹn, deflated evu patiẹn flat tummy
pẹtẹpẹtẹadj,and soft word describes
wetness,dryness eg of gari
soil,of water on surface etc
piẽpiẽadj,forming young immature unripe
word,describes how youngimmature
eg,piẹpiẹ unripe undeveloped
piọpiọpiọadj,and sharp eg nail
prararaadj,the sudden and forceful
gushing,of blood or liquid
of,fallen down from a tree
phaphọ,it
phavwẹ,me
phẹghẹphẹghẹ, not thick
phihọadd,it
phọphọ,himher
phoro,erase
phiostone,it
phiọ,it make it straight
ra,go there
rara,eg snails crawl
rare,use of finger or tongue
to,food like a dog
rẹ,beg
riemu,food
riẹre,knows
riẹriẹ,himher
rió,it
riò,up eg when opening soda can
ririe,it wipe up wipe
rọ, swallow it
roro, think about it
ru,do
ruiruo,work
ruo,it
ruọ,inside
rhá, loosen un-tangle un-do knot
rhà,fly
rharerharọ, plaster smoothen
rharhọ,bore a hole in it
rhariẹ,hurt an existing sorepain
rhẹrẹ, spying on
rhẹrhẹ,swim
rhẹriẹ, turn around turn it over
rhẹriomachange,position turn a
different, lie face up
rhiọstart, wake up early to begin
rhiri,a long time
rhirirhìrì,forever
rho, not totally done preservative
partial,eg fresh meat or fish
rhoma,say it again repeat what you said
rhorha,hot
rhuẹrẹ, fix make it better
rhuo,eg as when weaving a basket
rhuo,on your fashion gear dress up
rhurho,it eg cover a pot
rhurie, uncontrollable population
movement,unstoppable event
sa,shoot
sasa, healthy and well smart
sẹ,fashionably
se,call
sen, refuse say no
si,write
siọreject,outright
sio,it
sio,towards self 
siomanu,hide
sobọ,hands shake my hand
su, rule lead
suine,a song
she,fall
shesheri,far
sherhẹ,down
shiguẹ,with the knees bent kneel down
shoma,ones self
shọrọ,crawl
ta,mild condemnation blame or curse
takẹ,himher
tọ,long
tó,dig it eg a pit or hole
tó,it eg gari
toropick,pick it
toro,contribute
totaspeak,talk
tua,himher it
tuatochew,your chewing stick
tuatua,and fearful
tue,it off eg cloth that falls on dirt
tuọ,it
ubeku,bone
ubi, knot
ubiako,tooth
uchuhru,stump
uchuru,of animal husbandary 
raised,and animals for food
udidẹ,earthworm
udi,liquor
údi,cutter
udju,farm
udu,chest
ufi,trap
ufi, also called uruhrẹ 
ufo,that a person does for someone
as,for the help that he had
earlier,from that individual
ufuna,bamboo-made cigarette pipe
ufuoma, a state of serenity
ugbakara,ladder
ugbenu,hill
ugbidu,farm
ugbudia,tail ox tail
ugbunu,mouth
ughẹghẹ,foolishness
uji, thievery ojithieve
ujori,hundred
ujuvẹ,forty
ukiri,drum
ukodo,porridge
úkóko, association
ukoko,pipe
ukoro,tusk bangle
ukpokpo, any object thrown at a target
ukpono,cripple
ukuta,stone
umẹ,committee
une,song
unu, mouth
unuebo, to express surprise or for help
upho,throat
uri,hundred
uroko,mile
urhe,tree
urhi,law
urhiabọ,finger
urhiawọ,toe
urhie,seariverocean
urhiẹ,line
urhuẹ,of abode
urhurhu,tail
urhuru,voice
uriri,glory
uruemu, behavior
ruhrẹ, cord stem of some
ushurhe,axe
usí,starch
usi,popularity
úsi,line
usiamé,fetching rope
usiavwrẹ,key
utiẹn,orange
utitẹ, stamp seal in notary
utuoma,hatred
ututa,onion
uvworo,feather
uyonta,truth
uyonvwi,head
va, skin an animal split eg kola nut
va,loud
vame,water
haggle,price eg asking for a lower price
vẹn,it
viẹ, cry grief
vie,eg a child sucks the mothers breast
vie,than vie we older than you 
vievie,breast
vo,eg water
vọ,full
vuẹ,himher
vuo, harvest
vurho,organized competition to acquire 
scramble, un-healthy competition
vuvwo, preserve by drying 
