Urhobo,English
Ahanre,called IKPEKPA )……Lower deck of fireplace platform.
Ahe…………………………………,owl
Ahwa………………………………..,beaked non climbing giant squirrel
Aka……………………………………,people from southern Nigeria
Áká…………………………………..,kola
Akaunọrọ…………………….,Lizard
Ako……………………………………,Tooth
Akoroda…………………………….,sheath.
Akpãkpa………………………,woven out of palm branch back
Akpakpasimagha,Scorpion
Akpanurhe………………………….,Low seat
……………………,horn
Akpẹ,; Bird’s gizzard ; container of items
Akpẹrẹ…………………,Basket
Akpẹtẹ………………….,cook ; cook
Akpine………………….,singer
Akpọ……………………,; earth ; life
Akpono…………………,beads for female fashion.
Ame…………………….,Water
Amirika……………….,; drinkable alcohol .
Anama………………..,off ; stylish ; proud
Anurhoro…………….,to a house or room ; doorway
Apata…………………,release of someone else’s
information,revealing other’s secrets.
Aphia…………………,( also called Avwia )
Aphopho…………….,Breeze
Aranto……………….,ant hill with a hat-like top cover.
Are……………………,blade ( also known as Erakivẹ̣̣ )
Areba………………..,poisonous wild garden egg plant .
Arhare……………….,Forehead
Arh,Salvation ; Having life
Arhọghọ…………….,Contribution
Arirhiri……………..,name indicative of its crafty behavior.
Ariri……………………….Fish,net
Arodọvwẹ,Pity ; Mercy
Aruvwẹ…………….,; daylight period.
Asa………………...,Place
Asakuẹ…………….,by .
Asé………………….,guilty verdict ; Acquittal
Aso………………….,Night
Atarhe……………..,destination
Ato………………….,Desert
Ató………………….,stick.
Avwebọ……………,person
Avwro……………….,; Expression of a second opinion.
Awanre………………,Ancient
Ayar,…………………….Fish trapping basket
Aye…………………,Woman
Azagba……………,of everyone; un- hidden ;
In,of an audience.
Baba,Father
Bẹnẹ………………..,Romance
Beroma…………….,in despair
Bẹsiẹye,Until then ; Until that time
Biebi………………..,Black
Bio……………………,Push
Biko………………….,; I beg you
Bioma……………,me ; get out of my way
Bitoboyi………Dress,;Excuse me ; move there
Bọ………………………..,Build
Bov…………………………..,?
Bra…………………………………,Bad
Brabra………………………….,bad
Branama……………………..,style ; Proud ; Show off.
Brẹdẹ,Make an appointment date.
Brigho,How much is the price tag ?
Brisẹ………………………,a “Proverb” ; Clarify with a proverb.
Bro………………………………,it.
Bró………………………………,many ?
Broma…………………………,up ; Walk fast.
Brudu,Worry
Buebu…………………………,; Plenty ; a lot.
C,H
Chá…………………,; Add to it ; augment.
Cha……………,e.g. Mẽ cha = I am coming.
Chere………………………,Cook
Chirako…………………….,Endure
Cho………………………….,Steal
Choja…………………,a long time grudge.
Choma,Be prepared ; Get ready.
Chuji………………….,Steal
Chuko………………,; Lend a hand ; Support.
Churo………………,it
Da…………………………………,Drink
Dame…………………………….,water
Dẽdè………………………,Welcome
Dedé……………………..,him/her.
Davwe……………………,; Test
Davw………………………………..,it ; Try it.
Dẹ……………………………,Buy
Dẹ́dẹ́………………………..,(also Dẹ́ẹ́dẹ́).
Dedẽde…….Without,; Without discrimination.
Didiemu,What is it ?
Dierhare………………,up around fire.
Diguẹ…………………,with knees down or bent .
Divwi………,; Dive ;(divwi ame = dive into water ).
Do…………,; An elder greeting his junior.
D’udi…………………….,liquor ( da udi ).
Dja………………………………………Spicy,Pepper-like taste ;
Hot,feeling
hot,feeling
Run,race
Ebo…………………………………….Local,package bag
Eb……………………,roofing with attached leaves
Edi……………………………………Palm,fruit
Edja……………………………,; Parasitic worms
Edje…………………………………,; Equals
Edjere………………………………,Crocodile
Efe…………………………………..,Riches
Efi……………………………………,tree climbing rope
Efia………………………………….,Lie
Egbn……………………………,Bullets
Eghwa……………………………,.Load
Eghwughwẹ…………………….,Chameleon
Egedege…………………………,floor building
Eha…………………,Play
Eheri……………….,Fashion
Eho……………………,; Consequence of a guilty verdict.
Ejọ̃rọ………………….,chain
Ehuhu…………………,; Pangolin
Ekanaka………………,Plate
Eki…………………….,Market
Ekogho………………,; Neighborhood
Eku…,; Subjection (through false allegations)
Ekpẹ………………………,; Sand
Ekpeti,………………..Box
Ekpu………………….,Pocket
Ekrirhe……………….,of firewood
Ekrirhekrẹbe……….,Worm
Ekru……………………,Bundle
……………..,Fruit
Emamọ………………,good one
Emeravwe…………,; Month
Emeraravwe……..,Ant
Emu………………….,Food
Enanadja…………..,Pineaple
Eni……………………,Elephant
Ení……………………,bunch of clothes
or,put between head
Enu………………..,Up
Epha………………,Oracle
Epharo……………,Face
Ephẹ………………,Urine
Ephẹrẹ…………..,Language
Eravwe…………..,Animal
Erere……………..,Profit
Erha……………….,Three
Erhare…………...,Fire
Erhi………………..,Butterfly
Erhie………………,of paradise ; Alligator pepper
Erhivwi……………,Millipede
Erhọ………………..,Ear
Erhu……………….,Hat
Erhuẹ……………..,Cow
Erhurhu……………,dump
Erhuru…………….,; Beach ; River’s edge
Erhuvwu………….,Beauty
Eri…………………...,Fish
Ésẹ́………………,(e.g. fish scale )
Rash,skin complaint
Eshe………………,Fall of…… ; Fall
Esi……………………,Pig
Esia………………….,Fable
Eshu………………..,Devil
Eto………………….,Pumpkin
Evu…………………,; Belly
Ẹba……………………………..,Nakedness
Ẹba…………………………………….King,fish
Ẹchẹ………………………………………,Door
Ẹdẹ…………………………………..,Day
Ẹdidjana,otete )…………. Saturday
Ẹdidjana,orode )………….Sunday
Ẹdiruo…………………………….Weekday,Work day
Ẹdẹfa……………………………….,day
Ẹdeki……………………………,day
Ẹdorẹ………………………………..Festival,day
Ẹdevwiẹ……………………….,Birthday
Ẹga……………………………….,Service
Ẹga………………………………,; Childless person
Ẹghware……………………,; Sense
Ẹghwẹre………………………,Mat
Ẹghweya………………….,folk
Ẹghwọ……………………,; Misunderstanding
Ẹgua,Defilement
Ẹguare……………………,Court
Ẹguọnọ……………………,; Affection
Ẹho………………………..,; Bird’s nest
Ẹhọnimuemu…………...,Baptism
Ẹjẹ,Selection
Ẹjo…………………………,! ; Not at all
Ẹkẹ……………………………,Portion
Ẹkẹrẹkẹtẹ…………………..,Ass
Ẹkẹvuọvo………………….,; although
Ẹkegba………………………,Rust
Ẹkihwe………………………,tenth (
1/10,)
Ẹkpa,Foolish ; Unripe
Ẹrhé………………………,cow ; Manatee
Ẹrhia………………………….,of people’s
Secrets,Tale-bearing
Ẹrho………………………..,Cat-fish
Ẹrhorho…………………..,Leech
Ẹrhoro…………..Tip,the germinating plant
Ẹrhovwo……………………,Prayer
Ẹro……………………………,Eye
Ẹrẹvwe………………………….,Tongue
Ẹsanọ,Selection
Ẹsọ………………State,penury ; Abject poverty
Ẹsosuọ………………………,; Beginning
Ẹto……………………………,Hair
Ẹvwé………………………….,Goat
Ẹvwe…………………………,nut
Ẹvwẹrẹ……………………..,pot
Ẹvwẹ́re………,that’s boiling/cooking on fire
Fa………………………….,Flog
Fa…………………………,(e.g. Cause ) ; Expose
Faro………………………,; Hash
"Frae……………………,",weight
Fe………………………….Get,(efe = riches )
Fẹnẹ……………………,; Different from.
Fẹrẹ…………………..,; Flip it
Fia………………………,off with a single strike
(e.g.,machete or sword)
Fia,Change; Reduce to smaller
units,money)
Fiabọ…………………,handed
Fiẹ………………….,(e.g. Uko fiẹ= Cup leaks)
Fiọ…………………….Sneeze,out
Fiọfiọ………………….Leak,suck
Fiunu……………….,Hiss
Foma………………….Confess,misdeeds
Foma………………….Payment,travel fare
Fọrhọ………………….Wash,e.g. wash Cloth)
Fronẹ………………..,off; Run away
Fru…………………..,Snatch
Fuafo…………………,White
Fue……………………,it
Fuefu……………….,Gentle
Fuẹrẹ……….Scrutinize,examine ; research
Furhie…………………Quench,put out fire
Gaga……………………,; Hard
Gẹrẹ…………………..,it ; Bent
Geri……………………,Vomit
Gidigba……………….,big ; ( adj. showing size.)
Gò……………………..,; Boast
Godogodo……………,Seldom
Gogo………………….,; Display
Gogorogo……………,tall ; Very huge
Goma………………….,Strong
Gu…………………….,a statement
Gua……………………,Drive
Guegue………………,Frighten
Gugunu………………,straight
Gugurugu…………….Huge,amount
Guma…………………,Big
Gba……………………….,Tie
Gbane……………………,Hug
Gbe……………………….,Dance
Gbegbé………………..Dirty,also Gbe )
Gbesia………………..Tell,fables
Gbẹ……………………,weeds ; un-weed with cutlass
Gbẹkẹ…………….,to the brim ; a lot (e.g.) of food
Gbiẹyi………………..Dead,silent
Gbiku………………..Tell,story
Gbo………………….,Smell
trees,their fallen edible fruits
Gbogbo………………………,Rotten
Gboma……………………….,joyfully
Gbraka……………………….,and robust
Gbrẹrẹ……………………….,size ; average shape
Gbunie……………………….,on the floor ; Sign of
humility.,down fears
no,; fears no pride)
Gbunu……………………….,; Abstinence from food
Gha…………………….,Forbid
Gha…………………….,up e.g.( Umbrella or eye
Ghare………………….,Divide
Ghare………………..,Expensive
Ghẹrẹ…………………,a child ; Up bringing ; Nourish
Gho…………………….,him/her
Ghoro…………………,; Moving around without
Destination,A hawker’s aimless trip
Ghọ…………………....,kola nut and money
to,and celebrate a
visitor’s,arrival.
Ghọghọ……………….,Rejoice
Ghwa……………..,Carry
Ghwá………Gift,good performance e.g. dancing
Ghwẹ̣……...Pack,with palm of your hands
Ghwiẹ…̣,up (e.g.) sun-dried clothes ; Slap
Ghwie………………………..,Uproot
Ghwo…………………………,; Ripe
Ghwoghwo…………………,Announce
Ghworo…………………….,Rub
Ghworiẹ…̣,Slippery
Ghworiẹ́……………………..,Rinse
Ghwọ̣…………………………..Quarrel,Scold
Ghwọghwọghwọ……….,Un-sanitary ; Filthy
Ghwọrọ̣………………………..Roam,a road less bush or
Ghwọrọ̣………………,(ghwọrọ kufia =waste away)
Ghwu………………………….,Die
Harhọ………………………..,him/her
Hẹrhẹ……………………….,Wait
Hiẹ…̣,Dig in ; Scramble
Hirhe………………………,; Return
Họhọhọ…………………..,Heavy
Họhọ̣re…………………..,alike
Họrhọ……………………,Boil
Hra……………………….,; undo the orderliness
Hrahrọ………………….,evenly ; Spread equally
Hrohro………………….,out the last remnant
Hwahwá…………………..,Narrow
Hwe…………………………,; Punish ; pummel
Hwehwa…………………..,a bed
Hwehwẹ……………………,Laugh
Hwihwirihwi……………..,dark ; More than black
Ibehre…………………..,Mud
Ibivu………………………,Intestine
Ichabọ…………………….,Assistant
Ídjédje…………………..,Explanation
Idjerhe……………………,Road
Ifọ………………………….,; Water leaf
Igberadja……………….,Prostitute
Igede……………………,Drum
Igoni…………………….,Handcuff
Igbigbi………………….,; Faking
Igbunu………………….,Miracle
Igho……………………..,Money
Ikọhọ……………………,Egg
Ikpekpa………………..,over the fireplace
Iku………………………,Crawfish
Ine………………………,Song
Inene……………………,Mother
Inuhu……………………,Dirt
Ipẹrẹ……………………,Nail
Iporoma……………….,Sword
Ipọtọ……………………,Button
Irhe…………………….,Wood
Irho…………………….,Dew
Iroro…………………..,; To think
Iruo…………………….,Work
Isa……………………..,Ring
Isẹ……………………..,Proverb
Isha…………………..,Beans
Ishasha………Small,like alligator pepper from a
Climbing,used as a stimulant/herb
Ishu…………………..,Lice
Isi……………………..,of people
Isio……………………,Star
Isọ…………………….,Excreta
Itu……………………..,Mushroom
Ivwri………………….,; Animal/ Fish fat
Ivwri…………………,Ant
Iyesi………………….,Horse
Izegede………,"building ;Un-completed,"
Door-less,house.
Jẹ…………………………….,; Selecting in turns
Jio…………………………..,him/her
Jiro………………………….,him
Jokpa………………………,; Unless
Jovwo……………………..,not proceed ; Discontinue
Jurhi…………………,an edit ; Make a law or regulation
Kaka………………………………,at all
Remember,Do not forget
Kẹ́………………………………….,Give
Kẹkẹrẹkẹ…………………….,;Medium shape size
………………………,Listen
Kẹvwẹ…………………………..,me
Kio,eg Kio riariẹ )… Go round ; wrap it round
Ko…………………………..,( with a sewing machine )
Kọ…………………………..,( sow a seed )
Koka……………………….,a mark
Koko………………………,Gather
Kokoroko……………….,strong
Krekri…………………….,a long time
Krẹkrẹ……………………..,Short
Kri………………………...,arrival or late departure
Kro………………………..,it up
Kru………………………..,it up
Kuakó………………..,Stunted growth
Kueku,Cheap
Kuo……………………,Pour
Kpaikpai……………All,leaving nothing behind
Kpẹhrẹ………………………Small,Not tall
Kpẹkpẹrẹkpẹ……………,ever
Kperi…………………….,Shout
Kprekpre…………………Forceful,; Series of
sudden,pushes.
Kpo……………………….,home
Kpogho…………………..,Shake
Kporo…………………….Break,( e.g. of a wall)
Kprẹsẹ…………………….Dwarfish,stature
Kpuhru…………………,; Describing how short
THIS,IS USUALLY REPLACED BY
EXCEPT,APPEARS IN THE MIDDLE OF A
WORD.,: SAPELE AND PỌLỌKO ̣
NỌKỌNỌKỌ,An adjective describing skin texture
(,and/or a well nurtured person.
Mamọ………………………….Genuine,; Good type
Mẹ…………………………,Me
Mẹvwẹ……………………,am
Miavwa………………….,Painful
Miẹmiẹ,Sweet
Mio……………………….,; Squeeze water from…
Mọ……………………,come
Momo…………………….,Borrow
Mra…………….............,Sound
Mragha………………….,; Showing off
Mraro……………………,the future ;
Devine,; Prophecy
Mrẹ……………………….,See
Muo………………………,Carry
Muọga……………………,Sick
Nanãna…………………………………,Now
Ne…………………………………………,feces
Nene……………………………………,Mother
Nie………………………………………,Take
……………….,i
Nó,at t
Nọ………………...,Ask
Nomaso…………..Attention,Take Note ; Beware
ba………………………,End
