Urhobo,English
Urhobo,A.O. Ukere (1986) Web version by Roger Blench (2005)
Urhobo,English gloss
A,a
án,"exclamation of disbelief, shock or surprise, also used for questioning."
abaka,grasshopper
abavo,equal
abé,guilt (in a case or law-suit)
abémuó,wrestling
abérha,thrice
abẹrẹn,sword
abívẹ,twice
áda1,forked stick
ada2,outing
adérha,three-way junction
ádié,position/part
adján,bat
adjaóghẹné,swallow
ádjeghwọghwọ,camphor
adjené,self acclaimed witch or wizard
ádjọkrótẹgba,pants
adjudju,fan
adjugẹ,wheel
áfe,menstruation
áfiéha,"stadium, playground"
áfiédjọ,masquerade playground
afiotọ,rabbit
afọrhe,brain
agada,"crotch, area between the legs"
ágógó,"gong, bell"
agọ,"camp, temporary settlement"
aguare,court
agbá,n. oil bean seed
agbada,bridge
agbadarizobo,altar
agbagba,cross
agbakara,raffia and oil-palm beetle
agbara,n. chair
agbogu,dagger
agboro,echo
agbótọ,chin
agbọn,n. placenta
agbuna,matches
agbrara,thunder
aghán,broom
Urhobo,A.O. Ukere (1986) Web version by Roger Blench (2005)
Urhobo,English gloss
aghighọn,chain of coral beads worn round the neck by chiefs
aghọghọ,joy/happiness
ághwá,bush
aghwaghwa,bush dog
aghware,wisdom
aghwọn,‘hamster’ [N.B. there are no hamsters in Nigeria. Perhaps a bush-rat?]
aghwoghwo,announcement
áhe,owl-like bird
ahọnre,sound of snoring
ahwa,pliers
ahworhẹ,sponge
aka1,Urhobo name for the Edo (Bini) people and their language
ákán2,bitter kola
akaba,specie of gong
akaínọrọ,snake monitor
akara,bean-cake
akikó,water-snail
akobẹ,metal trap used for catching small animals such as rats
akoríruo,office
akuakua,wooden slit-gong
akpakpasímagha,scorpion
akpan,"baldness, bald head"
ákpánurhé,stool
ákpátá,"mouth-organ, organ"
akpéyéré,way of life
akpérẹ,elephant tusk horn
akpériọ,enjoyment
akpérusiavwrẹ,padlock
ákpẹvwẹ,thanksgiving
akpóno,very flat bead made from rubber or palm kernel shells
akpọ1,world
akpọ2,life
akrẹ,small lizard
ama,bell
ámakáshe,angel
ame,water
ameóbe,ink
amereka,"n. locally brewed gin, ogogoro"
amerísaguẹ,groundnut oil
amiédi,n. banga soup
amióviẹ,tears
amóno,who (coll.)
ámrádjẹ,charm for protection against the dead
amwá,cloth
Urhobo,English gloss
A,a
án,"exclamation of disbelief, shock or surprise, also used for questioning."
abaka,grasshopper
abavo,equal
abé,guilt (in a case or law-suit)
abémuó,wrestling
abérha,thrice
abẹrẹn,sword
abívẹ,twice
áda1,forked stick
ada2,outing
adérha,three-way junction
ádié,position/part
adján,bat
adjaóghẹné,swallow
ádjeghwọghwọ,camphor
adjené,self acclaimed witch or wizard
ádjọkrótẹgba,pants
adjudju,fan
adjugẹ,wheel
áfe,menstruation
áfiéha,"stadium, playground"
áfiédjọ,masquerade playground
afiotọ,rabbit
afọrhe,brain
agada,"crotch, area between the legs"
ágógó,"gong, bell"
agọ,"camp, temporary settlement"
aguare,court
agbá,n. oil bean seed
agbada,bridge
agbadarizobo,altar
agbagba,cross
agbakara,raffia and oil-palm beetle
agbara,n. chair
agbogu,dagger
agboro,echo
agbótọ,chin
agbọn,n. placenta
agbuna,matches
agbrara,thunder
aghán,broom
Urhobo,English gloss
aghighọn,chain of coral beads worn round the neck by chiefs
aghọghọ,joy/happiness
ághwá,bush
aghwaghwa,bush dog
aghware,wisdom
aghwọn,‘hamster’ [N.B. there are no hamsters in Nigeria. Perhaps a bush-rat?]
aghwoghwo,announcement
áhe,owl-like bird
ahọnre,sound of snoring
ahwa,pliers
ahworhẹ,sponge
aka1,Urhobo name for the Edo (Bini) people and their language
ákán2,bitter kola
akaba,specie of gong
akaínọrọ,snake monitor
akara,bean-cake
akikó,water-snail
akobẹ,metal trap used for catching small animals such as rats
akoríruo,office
akuakua,wooden slit-gong
akpakpasímagha,scorpion
akpan,"baldness, bald head"
ákpánurhé,stool
ákpátá,"mouth-organ, organ"
akpéyéré,way of life
akpérẹ,elephant tusk horn
akpériọ,enjoyment
akpérusiavwrẹ,padlock
